,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX,Net_Buy_Sell,Director_Shareholding,Sentiment_Score
6505.TW,-0.011583966266345724,0.2503258137348599,0.12357095109575442,3.9612709317358705,-3.5280838319182473,0.21522991046521667,0.2503258137348365,0.285421717004469,0.19929204797675842,0.011930621296795424,-1.0296009657643811e-05,-0.00035717314019423477,0.0
2412.TW,0.002192631548133199,0.25063761409880114,0.08743246513406551,3.671102296585186,-3.4003638904436535,0.21916014646986082,0.2506376140985207,0.2821150817272387,-0.05104084885605285,0.0038346269668714126,3.83325805056048e-05,-7.434832141316621e-05,0.0
2308.TW,0.003763520784480709,0.2501080644763966,0.5072234070369674,3.8436584762039945,-3.5850028550330157,0.2670937144592352,0.25010806447639533,0.23312241449356458,0.326699346665423,0.027846046891656012,-3.7941404813829344e-05,-0.0013801856768905667,0.0
2881.TW,-0.1467308180157271,0.2858988862394676,0.05991392984598539,4.77460204621431,-3.986129500423349,0.28261538238872896,0.2858988862394486,0.28918239009014246,0.40150357758592015,-0.007848347386910887,4.647578644851503e-06,-0.0008764240641548186,0.0
3017.TW,-0.26587672175207944,0.311436030257882,0.24625983058259304,6.026929407723108,-4.888970548814248,0.3224648719415457,0.3114360302578806,0.3004071885742232,0.5048580261082715,-0.05488415370806016,-0.0001721700862974947,-0.002510369355591582,0.0
3006.TW,-0.2220624915020239,0.3040080483382658,0.13889278921758408,5.810149675695175,-4.763272879437747,0.3248718345076976,0.3040080483382733,0.2831442621688487,0.09117278029087755,-0.03908440598016945,-4.589399935622933e-05,0.0008518128911968528,0.0
2408.TW,-0.03157903959468072,0.2588924581120615,0.13285225591862765,4.3984233851795045,-3.8244501918728764,0.226004831839412,0.2588924581120677,0.291780084384752,0.02689931457177344,0.008055493467101818,-1.4714233301335412e-06,0.0012041997913828698,0.0
2344.TW,-0.04988854754663246,0.2627935784002137,0.05830940997211682,4.448155272832019,-3.8800348504964974,0.2630802394617862,0.262793578400189,0.26250691733854786,0.080827362527574,-0.000786533279955794,8.330009293488833e-06,0.00024213393774307317,0.0
8046.TW,-0.29133655906425576,0.3235095700951387,0.33364671054942974,5.8330894917927685,-4.6656416528471825,0.31442448970904346,0.3235095700951385,0.3325946504812382,0.054224520380918476,-0.02070352904039321,-0.00014733386412301317,-0.0010862016067430763,0.0
3037.TW,-0.1859092723607009,0.29722537842195773,0.26687684583853694,5.110286653714305,-4.2340590939117275,0.3037935928892904,0.297225378421961,0.29065716395462465,0.07479781608012556,-0.017397220064331167,-9.61420366162571e-05,0.001354941660972327,0.0
2891.TW,-0.1389276060192825,0.28767273910020674,0.01977836591415288,5.2306755364547275,-4.451167199083967,0.29027528487165144,0.28767273910019553,0.2850701933287394,-0.014093480315590906,-0.0007109890209274135,4.065071045185767e-06,-0.0002097370519947143,0.0
2882.TW,-0.11459123850195364,0.2781125179042251,0.056416907643035606,4.461860835914486,-3.8025199345350607,0.2433215145363591,0.2781125179042605,0.3129035212722006,0.2992273848548461,-0.0017010954035607483,-7.30067470143268e-06,9.591016011779185e-05,0.0
2353.TW,-0.08178213733812961,0.2696294481230548,0.041184164201840345,5.074889522528123,-4.4813089999928035,0.2894660076247566,0.2696294481230527,0.24979288862131982,0.34089185355650187,-0.001089673364762041,1.5856022211481147e-05,0.00015956138486755575,0.0
1513.TW,-0.2780413699658164,0.31961774939288756,0.07727210544789546,5.9394457821185735,-4.831280850836472,0.31662277098426655,0.31961774939290705,0.3226127278015306,0.1835329078295165,-0.009112183041221604,-1.7813169783420433e-05,0.002845543882276471,0.0
8996.TW,-0.35788309619849196,0.34111434483131,0.1670120232598933,6.260313292150884,-4.915132603481705,0.3468608261458872,0.34111434483130404,0.3353678635167093,-0.07427750284813592,-0.04255666877608478,-7.634467196435089e-05,0.0002654922717714799,0.0
6282.TW,-0.03636584280536442,0.25849975573371287,0.07180362783706064,4.139415202646234,-3.6304803714567244,0.29218832880822737,0.25849975573377076,0.22481118265931654,0.19214336601166082,-0.00597134562392261,1.6225952664635307e-05,7.978077840806629e-05,0.0
1795.TW,-0.21866836399970735,0.3046987130965325,0.23460496187225635,5.495905446985202,-4.512903211198836,0.32956015695573526,0.30469871309652385,0.2798372692373219,-0.03978762168119597,-0.02721650846677846,0.00012213742013659083,0.0034942152399083676,0.0
2388.TW,-0.20905264680664068,0.3012828641633022,0.12084233579789466,5.620125228008151,-4.704081695818004,0.31794640806594227,0.30128286416329936,0.28461932026062425,0.10507303463679851,0.004817181452866986,-6.651122538807063e-07,-0.000624644807569864,0.0
