Date,Open,High,Low,Close,Adj Close,Volume
2020-11-26,251.0,252.5,250.0,251.5,185.82550048828125,1730746
2020-11-27,252.5,252.5,250.5,251.5,185.82550048828125,1603769
2020-11-30,251.5,252.5,249.0,249.0,183.9783477783203,4630903
2020-12-01,249.5,250.5,248.0,248.5,183.60891723632812,2035186
2020-12-02,250.0,251.0,249.0,249.5,184.34776306152344,2269276
2020-12-03,250.0,250.5,247.0,247.0,182.5006103515625,3038180
2020-12-04,248.5,252.0,248.0,251.5,185.82550048828125,2696187
2020-12-07,252.5,258.0,252.0,254.0,187.67269897460938,5050466
2020-12-08,255.5,258.0,255.0,258.0,190.628173828125,4381520
2020-12-09,259.0,265.0,256.5,264.0,195.06137084960938,5365171
2020-12-10,260.0,261.5,254.0,257.0,189.8892822265625,4989588
2020-12-11,257.0,258.0,251.0,255.0,188.4115447998047,2745336
2020-12-14,255.0,257.0,253.0,255.5,188.78097534179688,2284587
2020-12-15,254.0,257.0,253.0,253.0,186.93382263183594,2191667
2020-12-16,255.0,256.0,253.5,255.0,188.4115447998047,1242883
2020-12-17,255.0,256.0,253.5,253.5,187.30323791503906,1586226
2020-12-18,253.5,255.0,253.0,253.0,186.93382263183594,2314483
2020-12-21,252.0,252.5,248.5,251.5,185.82550048828125,2290144
2020-12-22,250.0,251.5,248.5,249.0,183.9783477783203,2038783
2020-12-23,249.0,250.0,247.5,249.0,183.9783477783203,1256923
2020-12-24,248.5,249.5,248.0,248.5,183.60891723632812,1480474
2020-12-25,250.0,251.0,247.5,248.0,183.23947143554688,1736322
2020-12-28,249.5,250.5,248.5,250.0,184.71722412109375,1520924
2020-12-29,250.0,251.5,250.0,250.5,185.08663940429688,970723
2020-12-30,251.0,252.5,249.5,252.5,186.56439208984375,1635484
2020-12-31,252.5,253.0,250.5,250.5,185.08663940429688,1717237
2021-01-04,250.5,252.5,250.0,251.0,185.45606994628906,1531749
2021-01-05,251.0,253.0,250.5,253.0,186.93382263183594,1951835
2021-01-06,254.0,255.0,250.0,254.0,187.67269897460938,2984653
2021-01-07,255.0,265.5,252.5,261.5,193.21420288085938,7274739
2021-01-08,265.0,280.0,264.5,279.5,206.5138397216797,11062445
2021-01-11,282.5,287.5,279.0,283.5,209.4693145751953,6315052
2021-01-12,285.0,287.0,280.0,281.0,207.6221466064453,5002981
2021-01-13,285.0,295.0,283.0,288.5,213.16368103027344,6375090
2021-01-14,289.5,291.5,284.5,288.0,212.79421997070312,4895819
2021-01-15,289.0,291.5,283.5,287.0,212.0553436279297,4334120
2021-01-18,286.0,286.0,279.0,283.0,209.09986877441406,3271007
2021-01-19,283.0,285.0,282.0,285.0,210.57762145996094,2671114
2021-01-20,284.0,285.0,275.0,276.0,203.9278106689453,4781170
2021-01-21,278.0,282.0,277.5,282.0,208.3610076904297,3610802
2021-01-22,282.0,288.5,280.0,284.5,210.2082061767578,4410983
2021-01-25,284.5,291.5,282.0,290.0,214.27197265625,5231348
2021-01-26,291.0,292.5,284.0,284.0,209.8387451171875,3685064
2021-01-27,287.0,294.0,287.0,293.0,216.4885711669922,6288355
2021-01-28,288.0,291.5,285.5,288.5,213.16368103027344,3658600
2021-01-29,289.5,291.0,284.0,286.5,211.6859130859375,3775896
2021-02-01,285.0,285.0,280.5,283.5,209.4693145751953,2111191
2021-02-02,285.0,287.5,283.5,285.5,210.94703674316406,3387713
2021-02-03,288.5,291.0,285.0,288.5,213.16368103027344,3497993
2021-02-04,288.5,290.0,287.0,287.0,212.0553436279297,2036209
2021-02-05,289.5,290.0,287.0,288.5,213.16368103027344,1343523
2021-02-17,294.0,295.0,289.0,289.5,213.90252685546875,5191787
2021-02-18,289.5,290.5,287.0,289.0,213.5330810546875,3506596
2021-02-19,289.5,292.5,288.5,290.0,214.27197265625,2980292
2021-02-22,291.5,295.0,290.0,290.0,214.27197265625,4613852
2021-02-23,290.0,291.5,288.5,290.5,214.6414031982422,3589534
2021-02-24,291.0,309.5,291.0,300.5,222.03005981445312,9921364
2021-02-25,308.5,311.0,301.0,305.5,225.72442626953125,5578897
2021-02-26,300.5,307.5,299.0,304.0,224.61611938476562,6592137
2021-03-02,310.0,315.0,307.0,307.5,227.20217895507812,7414500
2021-03-03,311.0,317.5,306.0,316.5,233.85198974609375,5360155
2021-03-04,315.0,316.5,309.0,313.5,231.6353759765625,4942528
