Date,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
2020-06-11,496.5,10694.186,487.2,470.325,72.66200907448149,24.596882381741466,24.508323026183472,515.5768231676917,470.325,425.0731768323083,13.325374446040792,40.57870663609341
2020-06-12,492.5,11862.92,490.15,474.4,69.45290792994118,23.499832007662405,24.306624822479257,511.4912388577142,474.4,437.30876114228573,14.052133414180735,38.88273240784499
2020-06-15,492.5,7204.482,493.25,477.0,69.45290792994118,22.37251525295477,23.91980290857436,511.4151129592803,477.0,442.5848870407197,13.941266741739254,37.793113742245005
2020-06-16,510.0,11665.647,495.75,479.4,75.0450703603557,22.630343832566098,23.66191109337271,515.9261550125391,479.4,442.8738449874609,14.266890545900736,37.02270618106677
2020-06-17,510.0,6203.179,497.75,481.4,75.0450703603557,22.574450624767906,23.44441899965175,519.9714920634399,481.4,442.8285079365601,14.033541221193541,36.58933766413386
2020-06-18,513.0,5395.592,500.05,483.825,75.92145102684667,22.51271719273501,23.2580786382684,523.9102528992897,483.825,443.7397471007103,13.531145419679717,36.18692404126758
2020-06-19,546.0,21698.522,505.25,489.025,82.99561056192587,24.840273994501388,23.574517709515,532.8650216697041,489.025,445.18497833029585,15.921777889702595,37.39117403685141
2020-06-22,576.0,17770.887,513.4,494.825,86.79405664497367,28.773940730990716,24.614402313810142,550.7877331355431,494.825,438.8622668644569,16.92736518329527,38.87544421057693
2020-06-23,574.0,15468.824,521.05,500.525,85.42406294093988,31.368421043271553,25.965206059702425,563.8736187694735,500.525,437.1763812305264,18.289696241631322,40.60262553233069
2020-06-24,580.0,9137.582,529.05,506.3,86.13130816025507,33.52229113359675,27.47662307448129,576.1808986776784,506.3,436.4191013223215,18.126146510086226,42.206436759673466
2020-06-29,565.0,11967.207,535.9,511.55,76.17961449880525,33.63119458175936,28.7075373759369,582.4970929637008,511.55,440.6029070362993,18.045707473651497,43.27338636924629
